iter	Passed	Remaining
406	6789	9892
407	6805	9875
408	6824	9861
409	6852	9860
410	6885	9868
411	6906	9856
412	6926	9844
413	6942	9827
414	6959	9810
415	6976	9794
416	6994	9779
417	7013	9764
418	7028	9746
419	7044	9728
420	7060	9710
421	7077	9693
422	7097	9680
423	7112	9662
424	7130	9647
425	7147	9630
426	7163	9612
427	7179	9594
428	7196	9578
429	7214	9563
430	7231	9546
431	7245	9526
432	7261	9508
433	7278	9491
434	7296	9476
435	7311	9457
436	7325	9437
437	7340	9419
438	7356	9400
439	7370	9380
440	7385	9361
441	7400	9342
442	7414	9322
443	7429	9304
444	7445	9286
445	7460	9267
446	7475	9248
447	7489	9228
448	7502	9206
449	7516	9186
450	7530	9166
451	7545	9147
452	7559	9128
453	7576	9111
454	7590	9092
455	7604	9071
456	7617	9051
457	7632	9032
458	7647	9013
459	7661	8993
460	7675	8973
461	7688	8953
462	7703	8934
463	7716	8914
464	7730	8894
465	7745	8875
466	7758	8855
467	7772	8835
468	7786	8815
469	7800	8796
470	7815	8778
471	7830	8759
472	7845	8740
473	7859	8721
474	7874	8703
475	7889	8685
476	7903	8665
477	7916	8645
478	7930	8625
479	7943	8605
480	7958	8587
481	7974	8570
482	7989	8552
483	8003	8532
484	8018	8514
485	8033	8496
486	8048	8478
487	8063	8460
488	8077	8440
489	8094	8424
490	8108	8406
491	8124	8388
492	8139	8370
493	8157	8355
494	8174	8340
495	8192	8324
496	8210	8310
497	8227	8293
498	8242	8275
499	8260	8260
500	8277	8244
501	8296	8230
502	8316	8217
503	8333	8201
504	8351	8185
505	8368	8170
506	8385	8153
507	8401	8136
508	8417	8120
509	8434	8103
510	8451	8087
511	8466	8069
512	8481	8052
513	8498	8035
514	8515	8019
515	8530	8001
516	8545	7983
517	8560	7965
518	8575	7947
519	8591	7930
520	8605	7912
521	8620	7894
522	8636	7876
523	8650	7858
524	8667	7841
525	8680	7822
526	8695	7804
527	8710	7787
528	8727	7770
529	8742	7752
530	8757	7734
531	8773	7717
532	8788	7700
533	8802	7681
534	8817	7663
535	8833	7646
536	8847	7628
537	8862	7610
538	8875	7590
539	8890	7573
540	8905	7555
541	8919	7537
542	8934	7519
543	8950	7502
544	8965	7485
545	8981	7468
546	8995	7449
547	9010	7431
548	9026	7415
549	9041	7397
550	9056	7379
551	9071	7361
552	9085	7343
553	9100	7326
554	9115	7308
555	9130	7291
556	9144	7273
557	9159	7255
558	9173	7237
559	9190	7220
560	9206	7204
561	9220	7186
562	9234	7168
563	9248	7149
564	9262	7131
565	9276	7113
566	9291	7095
567	9306	7078
568	9322	7061
569	9337	7043
570	9351	7026
571	9368	7010
572	9384	6992
573	9398	6975
574	9413	6958
575	9429	6940
576	9443	6923
577	9459	6906
578	9474	6889
579	9489	6871
580	9504	6854
581	9518	6836
582	9532	6818
583	9546	6800
584	9560	6782
585	9574	6764
586	9589	6747
587	9605	6730
588	9619	6712
589	9635	6695
590	9649	6678
591	9664	6660
592	9682	6645
593	9697	6628
594	9714	6612
595	9731	6596
596	9746	6579
597	9761	6562
598	9777	6545
599	9793	6528
600	9809	6512
601	9826	6496
602	9842	6480
603	9857	6463
604	9872	6445
605	9889	6429
606	9904	6412
607	9924	6398
608	9940	6382
